Approved Symbol	Approved Name	Previous Symbols	Previous Name	Synonyms	Chromosome	Gene Family ID
ABCB4	ATP binding cassette subfamily B member 4	PGY3, MDR3	ATP-binding cassette, sub-family B (MDR/TAP), member 4	MDR2, PFIC-3, GBD1	7q21.12	806
ABCB5	ATP binding cassette subfamily B member 5		ATP-binding cassette, sub-family B (MDR/TAP), member 5	EST422562, ABCB5beta, ABCB5alpha	7p21.1	806
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)		"ATP-binding cassette, sub-family B (MDR/TAP), member 6, ""ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)"""	EST45597, umat, MTABC3	2q35	806|454
ABCB7	ATP binding cassette subfamily B member 7	ABC7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	EST140535, Atm1p, ASAT	Xq13.3	806
ABCB8	ATP binding cassette subfamily B member 8		ATP-binding cassette, sub-family B (MDR/TAP), member 8	EST328128, M-ABC1, MABC1	7q36.1	806
ABCB9	ATP binding cassette subfamily B member 9		ATP-binding cassette, sub-family B (MDR/TAP), member 9	EST122234	12q24.31	806
ABCB10	ATP binding cassette subfamily B member 10		ATP-binding cassette, sub-family B (MDR/TAP), member 10	EST20237, M-ABC2, MTABC2	1q42.13	806
ABCB11	ATP binding cassette subfamily B member 11	BSEP, PFIC2	"progressive familial intrahepatic cholestasis 2, ""bile salt export pump"", ""ATP-binding cassette, sub-family B (MDR/TAP), member 11"""	ABC16, SPGP, PFIC-2, PGY4	2q31.1	806
ABCC1	ATP binding cassette subfamily C member 1	MRP, MRP1	"multidrug resistance associated protein 1, ""ATP-binding cassette, sub-family C (CFTR/MRP), member 1"""	GS-X	16p13.11	807
ABCC2	ATP binding cassette subfamily C member 2	CMOAT	"canalicular multispecific organic anion transporter 1, ""ATP-binding cassette, sub-family C (CFTR/MRP), member 2"""	DJS, MRP2, cMRP	10q24.2	807
ABCC3	ATP binding cassette subfamily C member 3		ATP-binding cassette, sub-family C (CFTR/MRP), member 3	MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21.33	807
ABCC4	ATP binding cassette subfamily C member 4		ATP-binding cassette, sub-family C (CFTR/MRP), member 4	MRP4, EST170205, MOAT-B, MOATB	13q32.1	807
ABCC5	ATP binding cassette subfamily C member 5		ATP-binding cassette, sub-family C (CFTR/MRP), member 5	MRP5, SMRP, EST277145, MOAT-C	3q27.1	807
ABCC6	ATP binding cassette subfamily C member 6	ARA, PXE	"pseudoxanthoma elasticum, ""ATP-binding cassette, sub-family C (CFTR/MRP), member 6"""	MRP6, EST349056, MLP1, URG7	16p13.11	807
ABCC8	ATP binding cassette subfamily C member 8	SUR, HRINS	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	11p15.1	807
ABCC9	ATP binding cassette subfamily C member 9		ATP-binding cassette, sub-family C (CFTR/MRP), member 9	SUR2, CMD1O	12p12.1	807
ABCC10	ATP binding cassette subfamily C member 10		ATP-binding cassette, sub-family C (CFTR/MRP), member 10	EST182763, MRP7, SIMRP7	6p21.1	807
ABCC11	ATP binding cassette subfamily C member 11		ATP-binding cassette, sub-family C (CFTR/MRP), member 11	MRP8	16q12.1	807
ABCC12	ATP binding cassette subfamily C member 12		ATP-binding cassette, sub-family C (CFTR/MRP), member 12	MRP9	16q12.1	807
ABCD1	ATP binding cassette subfamily D member 1	ALD	ATP-binding cassette, sub-family D (ALD), member 1	AMN, ALDP, adrenoleukodystrophy	Xq28	808
ABCD2	ATP binding cassette subfamily D member 2	ALDL1	ATP-binding cassette, sub-family D (ALD), member 2	ALDR, ALDRP	12q12	808
ABCD3	ATP binding cassette subfamily D member 3	PXMP1	ATP-binding cassette, sub-family D (ALD), member 3	PMP70, ZWS2	1p21.3	808|1062
ABCD4	ATP binding cassette subfamily D member 4	PXMP1L	ATP-binding cassette, sub-family D (ALD), member 4	PMP69, P70R, EST352188	14q24.3	808
ABCE1	ATP binding cassette subfamily E member 1	RNASEL1, RNASELI, RNS4I	ATP-binding cassette, sub-family E (OABP), member 1	RLI, OABP, RLI1	4q31.21	809
ABCF1	ATP binding cassette subfamily F member 1	ABC50	ATP-binding cassette, sub-family F (GCN20), member 1	EST123147	6p21.33	810
ABCF2	ATP binding cassette subfamily F member 2		ATP-binding cassette, sub-family F (GCN20), member 2	EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1	810
ABCF3	ATP binding cassette subfamily F member 3		ATP-binding cassette, sub-family F (GCN20), member 3	EST201864	3q27.1	810
ABCG1	ATP binding cassette subfamily G member 1		ATP-binding cassette, sub-family G (WHITE), member 1	ABC8	21q22.3	811
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)		"ATP-binding cassette, sub-family G (WHITE), member 2, ""ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)"""	EST157481, MXR, BCRP, ABCP, CD338	4q22.1	471|811|454
ABCG4	ATP binding cassette subfamily G member 4		ATP-binding cassette, sub-family G (WHITE), member 4	WHITE2	11q23.3	811
ABCG5	ATP binding cassette subfamily G member 5		ATP-binding cassette, sub-family G (WHITE), member 5	STSL	2p21	811
ABCG8	ATP binding cassette subfamily G member 8		"ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2), ""ATP-binding cassette, sub-family G (WHITE), member 8"""	GBD4	2p21	811
ABHD1	abhydrolase domain containing 1			LABH1, FLJ36128	2p23.3	4
ABHD2	abhydrolase domain containing 2			LABH2	15q26.1	4
ABHD3	abhydrolase domain containing 3			LABH3	18q11.2	4
ABHD4	abhydrolase domain containing 4			FLJ12816	14q11.2	4
ABHD5	abhydrolase domain containing 5			CGI-58, NCIE2	3p21.33	4
ABHD6	abhydrolase domain containing 6				3p14.3	4
ABHD8	abhydrolase domain containing 8			FLJ11743, MGC14280, MGC2512	19p13.11	4
ABHD10	abhydrolase domain containing 10			FLJ11342	3q13.2	4
ABHD11	abhydrolase domain containing 11	WBSCR21	Williams Beuren syndrome chromosome region 21	PP1226	7q11.23	4
ABHD12	abhydrolase domain containing 12	C20orf22	chromosome 20 open reading frame 22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21	4
ABHD12B	abhydrolase domain containing 12B	C14orf29	chromosome 14 open reading frame 29	BEM46L3	14q22.1	4
ABHD13	abhydrolase domain containing 13	C13orf6	chromosome 13 open reading frame 6	bA153I24.2, FLJ14906, BEM46L1	13q33.3	4
ABHD14A	abhydrolase domain containing 14A			DKFZP564O243, DORZ1	3p21.2	4
ABHD14B	abhydrolase domain containing 14B			MGC15429, CIB	3p21.2	4
ABHD15	abhydrolase domain containing 15				17q11.2	4
ABHD16A	abhydrolase domain containing 16A	BAT5	HLA-B associated transcript 5	NG26, D6S82E	6p21.33	4
ABHD16B	abhydrolase domain containing 16B	C20orf135	chromosome 20 open reading frame 135	dJ591C20.1	20q13.33	4
ABHD17A	abhydrolase domain containing 17A	C19orf27, FAM108A1	"chromosome 19 open reading frame 27, ""family with sequence similarity 108, member A1"""	MGC5244	19p13.3	4
ABHD17B	abhydrolase domain containing 17B	C9orf77, FAM108B1	"chromosome 9 open reading frame 77, ""family with sequence similarity 108, member B1"""	CGI-67	9q21.13	4
ABHD17C	abhydrolase domain containing 17C	FAM108C1	family with sequence similarity 108, member C1		15q25.1	4
ABHD18	abhydrolase domain containing 18	C4orf29	chromosome 4 open reading frame 29	FLJ21106	4q28.2	
ABI1	abl interactor 1	SSH3BP1	"spectrin SH3 domain binding protein 1, ""abl-interactor 1"""	E3B1, ABI-1	10p12.1	
ABI2	abl interactor 2		abl-interactor 2	ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33.2	
ABI3	ABI family member 3		ABI family, member 3	NESH, SSH3BP3	17q21.32	
ABI3BP	ABI family member 3 binding protein		ABI family, member 3 (NESH) binding protein	NESHBP, DKFZP586L2024, TARSH	3q12.2	555
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL	"v-abl Abelson murine leukemia viral oncogene homolog 1, ""c-abl oncogene 1, receptor tyrosine kinase"", ""c-abl oncogene 1, non-receptor tyrosine kinase"""	JTK7, c-ABL, p150	9q34.12	741|1463
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABLL	"v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene), ""v-abl Abelson murine leukemia viral oncogene homolog 2"", ""c-abl oncogene 2, non-receptor tyrosine kinase"""	ARG	1q25.2	741|1463
ABLIM1	actin binding LIM protein 1	LIMAB1, ABLIM		abLIM, limatin	10q25.3	1218
ABLIM2	actin binding LIM protein family member 2		"actin binding LIM protein 2, ""actin binding LIM protein family, member 2"""	KIAA1808	4p16.1	1218
ABLIM3	actin binding LIM protein family member 3		actin binding LIM protein family, member 3	KIAA0843	5q32	1218
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase		ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	A3GALNT, A3GALT1	9q34.2	429|454
ABR	active BCR-related		active BCR-related gene	MDB	17p13.3	722|682|823
ABRA	actin binding Rho activating protein			STARS	8q23.1	
ABRACL	ABRA C-terminal like	C6orf115	chromosome 6 open reading frame 115	PRO2013, HSPC280, Costars	6q24.1	
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	CCDC98, FAM175A	"coiled-coil domain containing 98, ""family with sequence similarity 175, member A"", ""family with sequence similarity 175 member A"", ""Abraxas 1, BRCA1 A complex subunit"""	FLJ13614, ABRA1, ABRAXAS	4q21.23	1328
ABRAXAS2	abraxas 2, BRISC complex subunit	KIAA0157, FAM175B	"KIAA0157, ""family with sequence similarity 175, member B"", ""family with sequence similarity 175 member B"""	Em:AC068896.4, ABRO1	10q26.13	1375
ABT1	activator of basal transcription 1			Esf2	6p22.2	
ABTB1	ankyrin repeat and BTB domain containing 1		ankyrin repeat and BTB (POZ) domain containing 1	BPOZ, EF1ABP, Btb3, BTBD21	3q21.3	861|403
ABTB2	ankyrin repeat and BTB domain containing 2		ankyrin repeat and BTB (POZ) domain containing 2	DKFZP586C1619, BTBD22, ABTB2A	11p13	861|403
ACAA1	acetyl-CoA acyltransferase 1		acetyl-Coenzyme A acyltransferase 1		3p22.2	
ACAA2	acetyl-CoA acyltransferase 2		acetyl-Coenzyme A acyltransferase 2	DSAEC	18q21.1	
ACACA	acetyl-CoA carboxylase alpha	ACAC, ACC	acetyl-Coenzyme A carboxylase alpha	ACC1	17q12	
ACACB	acetyl-CoA carboxylase beta		acetyl-Coenzyme A carboxylase beta	HACC275, ACC2, ACCB	12q24.11	
ACAD8	acyl-CoA dehydrogenase family member 8		"acyl-Coenzyme A dehydrogenase family, member 8, ""acyl-CoA dehydrogenase family, member 8"""		11q25	974
ACAD9	acyl-CoA dehydrogenase family member 9		"acyl-Coenzyme A dehydrogenase family, member 9, ""acyl-CoA dehydrogenase family, member 9"""	NPD002, MGC14452	3q21.3	974|1387
ACAD10	acyl-CoA dehydrogenase family member 10		"acyl-Coenzyme A dehydrogenase family, member 10, ""acyl-CoA dehydrogenase family, member 10"""	MGC5601	12q24.12	974
ACAD11	acyl-CoA dehydrogenase family member 11		"acyl-Coenzyme A dehydrogenase family, member 11, ""acyl-CoA dehydrogenase family, member 11"""	FLJ12592	3q22.1	974
ACADL	acyl-CoA dehydrogenase, long chain		acyl-Coenzyme A dehydrogenase, long chain	LCAD, ACAD4	2q34	974
ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain		acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	MCAD, MCADH, ACAD1	1p31.1	974
ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain		acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	SCAD, ACAD3	12q24.31	974
ACADSB	acyl-CoA dehydrogenase, short/branched chain		acyl-Coenzyme A dehydrogenase, short/branched chain	SBCAD, ACAD7	10q26.13	974
ACADVL	acyl-CoA dehydrogenase, very long chain		acyl-Coenzyme A dehydrogenase, very long chain	VLCAD, LCACD, ACAD6	17p13.1	974
ACAN	aggrecan	MSK16, CSPG1, AGC1	"chondroitin sulfate proteoglycan 1, ""aggrecan 1"""	CSPGCP	15q26.1	1179|574|590|1298
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	CENTB1	centaurin, beta 1	KIAA0050	17p13.1	403|682|395|1291
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	CENTB2	centaurin, beta 2	KIAA0041, CNT-B2	3q29	403|682|395|1291
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	CENTB5	centaurin, beta 5	KIAA1716	1p36.33	403|682|395|1291
ACAT1	acetyl-CoA acetyltransferase 1	ACAT	acetyl-Coenzyme A acetyltransferase 1	THIL	11q22.3	
ACAT2	acetyl-CoA acetyltransferase 2		"acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase), ""acetyl-Coenzyme A acetyltransferase 2"""		6q25.3	
ACBD3	acyl-CoA binding domain containing 3	GOLPH1, GOCAP1	"golgi complex associated protein 1, 60kDa, ""acyl-Coenzyme A binding domain containing 3"""	GCP60, PAP7	1q42.12	396
ACBD4	acyl-CoA binding domain containing 4		acyl-Coenzyme A binding domain containing 4	FLJ13322	17q21.31	
ACBD5	acyl-CoA binding domain containing 5		acyl-Coenzyme A binding domain containing 5	DKFZp434A2417, KIAA1996	10p12.1	
ACBD6	acyl-CoA binding domain containing 6		acyl-Coenzyme A binding domain containing 6	MGC2404	1q25.2-q25.3	403
ACBD7	acyl-CoA binding domain containing 7		acyl-Coenzyme A binding domain containing 7	FLJ38219, bA455B2.2	10p13	
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)		1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)	PHACS, ACS	11p11.2	
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like		1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like		11p11.2	
ACD	ACD, shelterin complex subunit and telomerase recruitment factor		adrenocortical dysplasia homolog (mouse)	Ptop, Pip1, Tpp1, Tint1	16q22.1	1334
ACE	angiotensin I converting enzyme	DCP1	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	ACE1, CD143	17q23.3	471
ACE2	angiotensin I converting enzyme 2		angiotensin I converting enzyme (peptidyl-dipeptidase A) 2		Xp22.2	
ACER1	alkaline ceramidase 1	ASAH3	N-acylsphingosine amidohydrolase (alkaline ceramidase) 3		19p13.3	400
ACER2	alkaline ceramidase 2	ASAH3L	N-acylsphingosine amidohydrolase 3-like	FLJ41587, ALKCDase2	9p22.1	400
ACER3	alkaline ceramidase 3	PHCA	phytoceramidase, alkaline	FLJ11238, APHC	11q13.5	400
ACHE	acetylcholinesterase (Cartwright blood group)	YT	"acetylcholinesterase (YT blood group), ""acetylcholinesterase (Yt blood group)"""		7q22.1	454
ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	apoptotic chromatin condensation inducer in the nucleus	KIAA0670, fSAP152	14q11.2	1236
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	FY, DARC	"Duffy blood group, ""Duffy blood group, chemokine receptor"", ""Duffy blood group, atypical chemokine receptor"""	CCBP1, GPD, Dfy, CD234	1q23.2	471|1090|454
ACKR2	atypical chemokine receptor 2	CMKBR9, CCBP2	chemokine binding protein 2	CCR10, D6, CCR9	3p22.1	1090
ACKR3	atypical chemokine receptor 3	CMKOR1, CXCR7	"chemokine orphan receptor 1, ""chemokine (C-X-C motif) receptor 7"""	RDC1, GPR159	2q37.3	1090
ACKR4	atypical chemokine receptor 4	CCRL1	chemokine (C-C motif) receptor-like 1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	3q22.1	1090
ACLY	ATP citrate lyase			ATPCL, CLATP, ACL	17q21.2	
ACMSD	aminocarboxymuconate semialdehyde decarboxylase				2q21.3	
ACO1	aconitase 1	IREB1	aconitase 1, soluble	IRP1, IREBP	9p21.1	
ACO2	aconitase 2		aconitase 2, mitochondrial	ACONM	22q13.2	
ACOD1	aconitate decarboxylase 1	IRG1	immunoresponsive 1 homolog (mouse)	CAD	13q22.3	
ACOT1	acyl-CoA thioesterase 1			ACH2, CTE-1, LACH2	14q24.3	41
ACOT2	acyl-CoA thioesterase 2			Mte1, ZAP128	14q24.3	41
ACOT4	acyl-CoA thioesterase 4			FLJ31235, PTE-Ib, PTE2B	14q24.3	41
ACOT6	acyl-CoA thioesterase 6	C14orf42	chromosome 14 open reading frame 42		14q24.3	41
ACOT7	acyl-CoA thioesterase 7			BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	1p36.31	41
ACOT8	acyl-CoA thioesterase 8	PTE1	"peroxisomal acyl-CoA thioesterase, ""peroxisomal acyl-CoA thioesterase 1"""	hACTE-III, hTE, PTE-2, NAP1	20q13.12	41
ACOT9	acyl-CoA thioesterase 9			CGI-16, MT-ACT48, ACATE2	Xp22.11	41
ACOT11	acyl-CoA thioesterase 11	THEA	thioesterase, adipose associated	STARD14, BFIT, KIAA0707, BFIT1, THEM1	1p32.3	41|759
ACOT12	acyl-CoA thioesterase 12			Cach, THEAL, STARD15	5q14.1	41|759
ACOT13	acyl-CoA thioesterase 13	THEM2	thioesterase superfamily member 2	HT012	6p22.3	41
ACOX1	acyl-CoA oxidase 1		"acyl-Coenzyme A oxidase 1, palmitoyl, ""acyl-CoA oxidase 1, palmitoyl"""	PALMCOX	17q25.1	
ACOX2	acyl-CoA oxidase 2		"acyl-Coenzyme A oxidase 2, branched chain, ""acyl-CoA oxidase 2, branched chain"""	BRCACOX, BRCOX, THCCox	3p14.3	
ACOX3	acyl-CoA oxidase 3, pristanoyl		acyl-Coenzyme A oxidase 3, pristanoyl		4p16.1	
ACOXL	acyl-CoA oxidase like		acyl-Coenzyme A oxidase-like	FLJ11042	2q13	
ACP1	acid phosphatase 1, soluble			HAAP, LMW-PTP, LMWPTP	2p25.3	712|1071
ACP2	acid phosphatase 2, lysosomal			LAP	11p11.2	1071
ACP4	acid phosphatase 4	ACPT	acid phosphatase, testicular		19q13.33	1071
ACP5	acid phosphatase 5, tartrate resistant			TRAP, HPAP	19p13.2	1071
ACP6	acid phosphatase 6, lysophosphatidic			LPAP, ACPL1	1q21.2	1071
ACP7	acid phosphatase 7, tartrate resistant (putative)			FLJ16165, PAPL1, PAPL	19q13.2	
ACPP	acid phosphatase, prostate			ACP3, ACP-3, PAP	3q22.1	1071
ACR	acrosin				22q13.33	
ACRBP	acrosin binding protein			SP32, OY-TES-1, CT23	12p13.31	
ACRV1	acrosomal vesicle protein 1			SPACA2, SP-10, D11S4365	11q24.2	
ACSBG1	acyl-CoA synthetase bubblegum family member 1			BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	15q25.1	40
ACSBG2	acyl-CoA synthetase bubblegum family member 2			BGR, PRTD-NY3, DKFZp434K1635	19p13.3	40
ACSF2	acyl-CoA synthetase family member 2			FLJ20920, ACSMW	17q21.33	40
ACSF3	acyl-CoA synthetase family member 3				16q24.3	40
ACSL1	acyl-CoA synthetase long chain family member 1	FACL2	fatty-acid-Coenzyme A ligase, long-chain 2	LACS2, LACS, ACS1, LACS1, FACL1	4q35.1	40
ACSL3	acyl-CoA synthetase long chain family member 3	FACL3	fatty-acid-Coenzyme A ligase, long-chain 3	ACS3, PRO2194	2q36.1	40
ACSL4	acyl-CoA synthetase long chain family member 4	FACL4, MRX63, MRX68	"fatty-acid-Coenzyme A ligase, long-chain 4, ""mental retardation, X-linked 63"", ""mental retardation, X-linked 68"""	ACS4, LACS4	Xq23	103|40
ACSL5	acyl-CoA synthetase long chain family member 5	FACL5	fatty-acid-Coenzyme A ligase, long-chain 5	ACS5, ACS2	10q25.2	40
ACSL6	acyl-CoA synthetase long chain family member 6	FACL6	fatty-acid-Coenzyme A ligase, long-chain 6	KIAA0837, ACS2, LACS5, LACS2	5q31.1	40
ACSM1	acyl-CoA synthetase medium chain family member 1	BUCS1	butyryl Coenzyme A synthetase 1	MACS1	16p12.3	40
ACSM2A	acyl-CoA synthetase medium chain family member 2A	ACSM2	acyl-CoA synthetase medium-chain family member 2	A-923A4.1, MGC150530	16p12.3	40
ACSM2B	acyl-CoA synthetase medium chain family member 2B	ACSM2	acyl-CoA synthetase medium-chain family member 2	HXMA, HYST1046	16p12.3	40
ACSM3	acyl-CoA synthetase medium chain family member 3	SAH	"SA (rat hypertension-associated) homolog, ""SA hypertension-associated homolog (rat)"""	SA	16p12.3	40
ACSM4	acyl-CoA synthetase medium chain family member 4				12p13.31	40
ACSM5	acyl-CoA synthetase medium chain family member 5			FLJ20581	16p12.3	40
ACSM6	acyl-CoA synthetase medium chain family member 6	C10orf129	chromosome 10 open reading frame 129	bA310E22.3	10q23.33	
ACSS1	acyl-CoA synthetase short chain family member 1	ACAS2L	acetyl-Coenzyme A synthetase 2 (AMP forming)-like	dJ568C11.3, AceCS2L, MGC33843	20p11.21	40
ACSS2	acyl-CoA synthetase short chain family member 2	ACAS2	acetyl-Coenzyme A synthetase 2 (ADP forming)	ACS, ACSA, AceCS, dJ1161H23.1	20q11.22	40
ACSS3	acyl-CoA synthetase short chain family member 3			FLJ21963	12q21.31	40
ACTA1	actin, alpha 1, skeletal muscle	ACTA		NEM3	1q42.13	929
ACTA2	actin, alpha 2, smooth muscle, aorta			ACTSA	10q23.31	929
ACTB	actin beta				7p22.1	929
ACTBL2	actin, beta like 2		actin, beta-like 2	DKFZp686D0972	5q11.2	
ACTC1	actin, alpha, cardiac muscle 1	ACTC	actin, alpha, cardiac muscle	CMD1R	15q14	929
ACTG1	actin gamma 1	ACTG, DFNA20, DFNA26	"deafness, autosomal dominant 20, ""deafness, autosomal dominant 26"""		17q25.3	929|1152
ACTG2	actin, gamma 2, smooth muscle, enteric	ACTL3, ACTA3		ACTSG	2p13.1	929
ACTL6A	actin like 6A			Actl6, BAF53A, Arp4, Baf53a, INO80K	3q26.33	1436|595|1329
ACTL6B	actin like 6B	ACTL6	actin-like 6	BAF53B	7q22.1	1436
ACTL7A	actin like 7A				9q31.3	1436
ACTL7B	actin like 7B			Tact1	9q31.3	1436
ACTL8	actin like 8			CT57	1p36.13	1436
